"","Df","SumOfSqs","R2","F","Pr(>F)"
"bmi_group",2,2.30296034271684,0.0584228224870496,6.77894757411653,1e-04
"timepoint.within.group",1,0.167346077978897,0.00424533155274884,0.985193073724105,0.3775
"bmi_group:timepoint.within.group",2,0.258522041044655,0.00655833582228501,0.760980261139823,0.6438
"Residual",216,36.6900192535909,0.930773510137917,NA,NA
"Total",221,39.4188477153313,1,NA,NA
